City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
366,port augusta,40,AU,1526364000,67,-32.49,137.76,62.6,11.41
367,souillac,90,FR,1526364000,87,45.6,-0.6,53.6,8.05
368,pisco,90,PE,1526364000,88,-13.71,-76.2,68.0,3.36
369,tiarei,75,PF,1526364000,74,-17.53,-149.33,78.8,4.7
370,marawi,68,PH,1526365435,97,8.0,124.29,76.0,1.61
371,puerto quijarro,0,BO,1526365436,79,-19.0,-57.72,72.76,3.4
372,maningrida,36,AU,1526365437,50,-12.05,134.23,88.33,15.48
373,wairoa,80,NZ,1526365437,94,-39.04,177.43,60.16,6.98
374,nabire,80,ID,1526365438,88,-3.36,135.5,75.82,2.39
375,coihaique,20,CL,1526364000,93,-45.58,-72.07,39.2,2.24
376,caraballeda,20,VE,1526364000,83,10.61,-66.85,75.2,2.24
377,uray,80,RU,1526365440,68,60.13,64.8,41.89,6.64
378,san vicente,0,SV,1526363400,100,13.64,-88.78,78.8,2.39
379,beipiao,56,CN,1526365441,70,41.8,120.76,77.53,17.27
380,bay roberts,90,CA,1526361600,93,47.58,-53.28,42.8,9.17
